A	O
Catania	O
ultimamente	O
sono	O
avvenuti	O
vari	O
casi	O
di	O
violenza	O
contro	O
le	O
donne	O
;	O
abbiamo	O
avuto	O
diversi	O
cosiddetti	O
femminicidi	O
;	O
sono	O
stati	O
istituiti	O
tavoli	O
informali	O
anche	O
con	O
figure	O
apicali	O
del	O
territorio	O
catanese	O
,	O
ed	O
è	O
emerso	O
come	O
l'	O
intervento	O
dei	O
servizi	O
sociali	O
sia	O
importante	O
per	O
coordinare	O
e	O
come	O
,	O
invece	O
,	O
l'	O
intervento	O
di	O
alcune	O
associazioni	O
di	O
tutela	O
delle	O
donne	O
sia	O
discutibile	O
.	O

